name,adjusted_rand_index,fit_time_seconds,normalized_mutual_info,post_fit_memory_current_MB,post_fit_memory_peak_MB,pre_fit_memory_current_MB,pre_fit_memory_peak_MB,silhouette_score
KMeans_Torch,-0.03157770018464697,0.21007895469665527,0.012474014312799998,0.092995,0.108927,0.00056,0.0006,0.525843046231932
KMeans_MLX,-0.03161118498720334,0.03947091102600098,0.012468588860843968,0.130367,0.130839,0.00032,0.00036,0.5259226307804478
KMeans_NP,-0.03157770018464697,0.025603055953979492,0.012474014312799998,0.246295,14.161976,0.00032,0.00036,0.525843046231932
KMeans_sklearn,-0.03161118498720334,0.1900479793548584,0.012468588860843968,0.369329,4.402002,0.00032,0.000488,0.5259226307804478
